name,latitude,longitude,lived,visited
Tarutung,1.987804795,98.98433425,yes,yes
Huta-aekgodang,1.736994728,98.959932,yes,yes
Halangan,1.666987789,98.84594885,no,yes
Sibolga,1.743858014,98.78552405,yes,yes
Sarulla,1.793959247,99.10206761,no,yes
Onanhasang,1.895530098,99.04370274,no,yes
Adian Kooting,1.869451651,98.89744726,no,yes
Hoeta Pagaran,1.936705791,98.77659765,yes,yes
Sorkam,1.906510382,98.59120337,yes,yes
Ha toea,2.065030186,98.7305924,no,yes
Hoeta Ranggitgit,2.121297546,98.79513707,no,yes
Situmeang,2.111004887,98.93658604,yes,yes
Sipahutar,2.109632528,99.08078159,no,yes
Pangaribuan,2.012191947,99.1563126,no,yes
Pacurmatulo,1.921608153,99.21536411,no,yes
Sipagimbir,1.846117976,99.35818637,yes,yes
Pagaranpanindoan,1.781605645,99.31836093,no,no
Simangoemban,1.706795968,99.15837254,no,no
